FID,GlobalID,DESCRIPTIO,LUC_CODE,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
18,{5C45A527-2718-4085-A4B4-0F2E9EEF18A7},STEWART CREEK GOLF COURSE CLUB HOUSE DIRECT CONTROL DISTRICT,DC-17(Z)2005,8893.33681404,481.45978518,22468.859375,765.431737137036
19,{AC6D876F-CB9E-47E6-9EB5-0FB0B6EB71B2},SILVERTIP GOLF COURSE DIRECT CONTROL DISTRICT,DC-20(Z)93,958069.308607,13519.8313876,2426146.40625,21515.898759404
20,{24F7A44A-744F-41E6-89FA-0FF5D115ADCA},KANANASKIS WAY DIRECT CONTROL DISTRICT,DC-2017-30,8413.28800345,398.97044102,21293.1796875,634.748612946504
21,{74F462F5-0FC1-4FDB-AF90-101C35B70B3B},SPRAY VILLAGE DIRECT CONTROL DISTRICT,DC-09-99-Spray,36589.1828524,1035.65650187,92569.6484375,1647.85936279523
22,{CFD6BC24-6C0F-4EF1-B625-10F1D367E89A},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,6847.83031697,456.969635878,17334.6015625,727.307664644811
23,{1E62A01C-AED7-44D0-936F-1169EF3B1119},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 2A,DC-1(Z)98 Site 2A,23019.527196,696.031199876,58184.3046875,1106.55956553496
24,{4C0F043A-A2E7-4C9D-8BCF-1260F430428D},ENVIRONMENTAL DISTRICT,ED,33698.0272135,1618.89891724,85281.984375,2575.66395866853
25,{CD8219C1-8280-425D-A276-1299552F6FD4},PUBLIC USE DISTRICT,PD,354.148626551,90.9271008601,896.109375,144.551205266751
26,{50227919-EAD5-4315-BB68-133281D6AF8D},ENVIRONMENTAL DISTRICT,ED,24046.7294094,1026.45891221,60768.4296875,1631.46951621434
27,{4AF1450E-7AB6-4D03-A779-138BCAEB10A0},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,15673.8788097,669.060802138,39655.1953125,1064.8993040031
28,{A60710DB-3CD9-4580-9DF9-15EA2CB7455B},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,8537.06113901,459.290053939,21602.625,731.108898869396
29,{16266CFD-4639-4806-8307-16E8DD383ACF},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,10378.2758601,517.002327459,26260.875,822.366642405803
30,{89667A69-C4D9-40EC-AFCE-188F4C34EA43},PAINTBRUSH RIDGE TSMV COMPREHENSIVE RESIDENTIAL DIRECT CONTROL DISTRICT,DC-05(Z)13,21872.4576792,819.946008195,55280.140625,1303.13028733367
31,{0C8FB4F9-BD72-430F-889F-1A6B6433A4B7},TOWN CENTRE DISTRICT,TC,53982.3201756,1480.45890246,136634.1015625,2353.95912734396
32,{4E0AEFE5-6293-44BB-B3B8-1B1179B6839D},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,46906.4450956,1260.17468345,118704.359375,2005.24738144005
33,{8AD1E1AD-3D5A-4BE9-9FFB-1BD6D7B890C0},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS ENTRY LEVEL LOT DISTRICT,R1B-E,10475.9448237,475.021820133,26475.1015625,755.321099818092
34,{C77870F4-80B0-405F-B98D-1C0EDEEC8667},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,5247.913984,326.451104403,13281.4296875,519.070827311318
35,{6F82D03A-320D-4E5F-8CDF-1E5C944C8B48},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS ENTRY LEVEL LOT DISTRICT,R1B-E,35665.108226,891.348163312,90160.953125,1416.9139202548
36,{E9469481-714C-4A89-B0A6-1E9FE71CEAF9},SILVERTIP RESIDENTIAL SINGLE FAMILY AND TWO UNIT DISTRICT,STR-1,59317.9921464,1122.56696914,150185.078125,1786.46532171211
37,{A2400488-73E2-4CDB-9355-1EA6ADFE4420},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,19170.2484306,665.797389543,48520,1059.17490707487
38,{C13F7855-9430-4B19-B17C-1EED1BF80658},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,5641.35339917,336.259741364,14279.3125,534.730694584719
39,{C8570026-AE1B-47B0-825C-20B6E6815514},BOW VALLEY TRAIL CENTRAL DISTRICT,BVT-C,207590.293039,3263.69897712,525487.140625,5194.30398882257
